tactic_name,technique_ID
Defense Evasion,T1127
Defense Evasion,T1127.001
Defense Evasion,T1535
Defense Evasion,T1550
Defense Evasion,T1550.001
Defense Evasion,T1550.002
Defense Evasion,T1550.003
Defense Evasion,T1550.004
Defense Evasion,T0858
Defense Evasion,T1078
Defense Evasion,T1078.001
Defense Evasion,T1078.002
Defense Evasion,T1078.003
Defense Evasion,T1078.004
Defense Evasion,T1497
Defense Evasion,T1497.001
Defense Evasion,T1497.002
Defense Evasion,T1497.003
Defense Evasion,T1600
Defense Evasion,T1600.001
Defense Evasion,T1600.002
Defense Evasion,T1220
Credential Access,T1110
Credential Access,T1110.001
Credential Access,T1110.002
Credential Access,T1110.003
Credential Access,T1110.004
Credential Access,T1555
Credential Access,T1555.001
Credential Access,T1555.002
Credential Access,T1555.003
Credential Access,T1212
Credential Access,T1187
Credential Access,T1056
Credential Access,T1056.001
Credential Access,T1056.002
Credential Access,T1056.003
Credential Access,T1056.004
Credential Access,T1557
Credential Access,T1557.001
Credential Access,T1557.002
Credential Access,T1556
Credential Access,T1556.001
Credential Access,T1556.002
Credential Access,T1556.003
Credential Access,T1556.004
Credential Access,T1040
Credential Access,T1003
Credential Access,T1003.001
Credential Access,T1003.002
Credential Access,T1003.003
Credential Access,T1003.004
Credential Access,T1003.005
Credential Access,T1003.006
Credential Access,T1003.007
Credential Access,T1003.008
Credential Access,T1528
Credential Access,T1558
Credential Access,T1558.001
Credential Access,T1558.002
Credential Access,T1558.003
Credential Access,T1558.004
Credential Access,T1539
Credential Access,T1111
Credential Access,T1552
Credential Access,T1552.001
Credential Access,T1552.002
Credential Access,T1552.003
Credential Access,T1552.004
Credential Access,T1552.005
Credential Access,T1552.006
Discovery,T1087
Discovery,T1087.001
Discovery,T1087.002
Discovery,T1087.003
Discovery,T1087.004
Discovery,T1010
Discovery,T1217
Discovery,T1580
Discovery,T1538
Discovery,T1526
Discovery,T0888
Discovery,T1482
Discovery,T1083
Discovery,T0887
Discovery,T0840
Discovery,T1046
Discovery,T0842
Discovery,T1135
Discovery,T1040
Discovery,T1201
Discovery,T1120
Discovery,T1069
Discovery,T1069.001
Discovery,T1069.002
Discovery,T1069.003
Discovery,T1057
Discovery,T1012
Discovery,T1018
Discovery,T0846
Discovery,T1518
Discovery,T1518.001
Discovery,T1082
Discovery,T1016
Discovery,T1049
Discovery,T1033
Discovery,T1007
Discovery,T1124
Discovery,T1497
Discovery,T1497.001
Discovery,T1497.002
Discovery,T1497.003
Lateral Movement,T0812
Lateral Movement,T1210
Lateral Movement,T0866
Lateral Movement,T0822
Lateral Movement,T1534
Lateral Movement,T1570
Lateral Movement,T0886
Lateral Movement,T0867
Lateral Movement,T1563
Lateral Movement,T1563.001
Lateral Movement,T1563.002
Lateral Movement,T1021
Lateral Movement,T1021.001
Lateral Movement,T1021.002
Lateral Movement,T1021.003
Lateral Movement,T1021.004
Lateral Movement,T1021.005
Lateral Movement,T1021.006
Lateral Movement,T1091
Lateral Movement,T1072
Lateral Movement,T1080
Lateral Movement,T1550
Lateral Movement,T1550.001
Lateral Movement,T1550.002
Lateral Movement,T1550.003
Lateral Movement,T1550.004
Lateral Movement,T0859
Collection,T1560
Collection,T1560.001
Collection,T1560.002
Collection,T1560.003
Collection,T1123
Collection,T1119
Collection,T0802
Collection,T1115
Collection,T1530
Collection,T1602
Collection,T1602.001
Collection,T1602.002
Collection,T1213
Collection,T0811
Collection,T1213.001
Collection,T1213.002
Collection,T1005
Collection,T1039
Collection,T1025
Collection,T1074
Collection,T1074.001
Collection,T1074.002
Collection,T0868
Collection,T1114
Collection,T1114.001
Collection,T1114.002
Collection,T1114.003
Collection,T0877
Collection,T1056
Collection,T1056.001
Collection,T1056.002
Collection,T1056.003
Collection,T1056.004
Collection,T0893
Collection,T1185
Collection,T1557
Collection,T1557.001
Collection,T1557.002
Collection,T0801
Collection,T0861
Collection,T0845
Collection,T1113
Collection,T0852
Collection,T1125
Command and Control,T1071
Command and Control,T1071.001
Command and Control,T1071.002
Command and Control,T1071.003
Command and Control,T1071.004
Command and Control,T0885
Command and Control,T1092
Command and Control,T0884
Command and Control,T1132
Command and Control,T1132.001
Command and Control,T1132.002
Command and Control,T1001
Command and Control,T1001.001
Command and Control,T1001.002
Command and Control,T1001.003
Command and Control,T1568
Command and Control,T1568.001
Command and Control,T1568.002
Command and Control,T1568.003
Command and Control,T1573
Command and Control,T1573.001
Command and Control,T1573.002
Command and Control,T1008
Command and Control,T1105
Command and Control,T1104
Command and Control,T1095
Command and Control,T1571
Command and Control,T1572
Command and Control,T1090
Command and Control,T1090.001
Command and Control,T1090.002
Command and Control,T1090.003
Command and Control,T1090.004
Command and Control,T1219
Command and Control,T0869
Command and Control,T1205
Command and Control,T1205.001
Command and Control,T1102
Command and Control,T1102.001
Command and Control,T1102.002
Command and Control,T1102.003
Exfiltration,T1020
Exfiltration,T1020.001
Exfiltration,T1030
Exfiltration,T1048
Exfiltration,T1048.001
Exfiltration,T1048.002
Exfiltration,T1048.003
Exfiltration,T1041
Exfiltration,T1011
Exfiltration,T1011.001
Exfiltration,T1052
Exfiltration,T1052.001
Exfiltration,T1567
Exfiltration,T1567.001
Exfiltration,T1567.002
Exfiltration,T1029
Exfiltration,T1537
Impact,T1531
Impact,T1485
Impact,T1486
Impact,T1565
Impact,T1565.003
Impact,T1491
Impact,T1491.001
Impact,T1491.002
Impact,T1561
Impact,T1561.001
Impact,T1561.002
Impact,T1499
Impact,T1499.001
Impact,T1499.002
Impact,T1499.003
Impact,T1499.004
Impact,T1495
Impact,T1490
Impact,T1498
Impact,T1498.001
Impact,T1498.002
Impact,T1496
Impact,T1489
Impact,T1529
Inhibit Response Function,T0800
Inhibit Response Function,T0878
Inhibit Response Function,T0803
Inhibit Response Function,T0804
Inhibit Response Function,T0805
Inhibit Response Function,T0809
Inhibit Response Function,T0814
Inhibit Response Function,T0816
Inhibit Response Function,T0835
Inhibit Response Function,T0838
Inhibit Response Function,T0892
Inhibit Response Function,T0843
Inhibit Response Function,T0851
Inhibit Response Function,T0857
Inhibit Response Function,T0858
Impair Process Control,T0806
Impair Process Control,T0849
Impair Process Control,T0836
Impair Process Control,T0839
Impair Process Control,T0843
Impair Process Control,T0848
Impair Process Control,T0881
Impair Process Control,T0856
Impair Process Control,T0855
Impact Ics,T0879
Impact Ics,T0813
Impact Ics,T0815
Impact Ics,T0826
Impact Ics,T0827
Impact Ics,T0828
Impact Ics,T0880
Impact Ics,T0829
Impact Ics,T0831
Impact Ics,T0832
Impact Ics,T0882
